cause,effect,windows_tested,pass_count,min_q,median_q,median_lag,stability_score
居民生活,石化,4,1,0.02065237740221543,0.7206040142875791,2.0,0.25
批发和零售业,化学制品制造业,4,1,0.02065237740221543,0.38998904352299607,4.0,0.25
批发和零售业,石化,4,1,0.02065237740221543,0.5044235559988364,4.0,0.25
石化,农业,4,1,0.02065237740221543,0.49824915528460734,2.5,0.25
农业,工业,4,1,0.024728184180523742,0.21836821957059674,1.5,0.25
化学制品制造业,工业,4,1,0.024751404663375363,0.18372033007097094,2.5,0.25
住宿和餐饮业,石化,4,1,0.0255588779217768,0.5324711159713025,4.0,0.25
批发和零售业,制造业,4,1,0.02568763940895778,0.19447943314234112,1.0,0.25
合计,制造业,4,1,0.027218695089617502,0.14694911039604328,1.0,0.25
合计,商业用电,4,1,0.028052127340593206,0.32138181161078544,3.0,0.25
化学制品制造业,交通仓储和邮政业,4,1,0.02902833009329585,0.4225819273716992,2.5,0.25
石化,交通仓储和邮政业,4,1,0.02902833009329585,0.47665305050192464,2.5,0.25
住宿和餐饮业,化学制品制造业,4,1,0.029207717028372243,0.44047481451133635,4.0,0.25
工业,非普工业,4,1,0.029650773365172096,0.14499847161116486,1.5,0.25
信息传输,石化,4,1,0.029939907135422612,0.5368901302202205,2.5,0.25
合计,批发和零售业,4,1,0.030206028759124103,0.23895833433551275,2.0,0.25
商业用电,工业,4,1,0.030206028759124103,0.2319219434525316,1.0,0.25
交通仓储和邮政业,石化,4,1,0.03031324104103204,0.5552904124110511,4.0,0.25
黑色金属冶炼,合计,4,1,0.031181807249980417,0.27647279792570323,1.0,0.25
非普工业,大工业电量,4,1,0.03396962797483505,0.2905881053082721,2.0,0.25
非普工业,工业,4,1,0.034605533967503314,0.24201104262581896,2.0,0.25
纺织业,批发和零售业,4,1,0.03475459550288643,0.22995998747282978,1.0,0.25
交通仓储和邮政业,化学制品制造业,4,1,0.036538499899315006,0.4215251792993365,4.0,0.25
石化,批发和零售业,4,1,0.03904224950016477,0.72640852155249,2.5,0.25
化学制品制造业,批发和零售业,4,1,0.03933922002768808,0.6409541813383877,4.0,0.25
信息传输,合计,4,1,0.03977407420059639,0.31559455605286635,2.0,0.25
信息传输,化学制品制造业,4,1,0.041588778617417395,0.4344267644502933,3.5,0.25
化学制品制造业,商业用电,4,1,0.041588778617417395,0.5685166391892504,4.0,0.25
石化,住宿和餐饮业,4,1,0.041588778617417395,0.5645968730699562,3.0,0.25
石化,商业用电,4,1,0.041588778617417395,0.6546565917878043,2.5,0.25
化学制品制造业,信息传输,4,1,0.04202646803173469,0.5318097919337041,2.5,0.25
合计,电子,4,1,0.04254894863826451,0.28986862720929346,3.0,0.25
石化,大工业电量,4,1,0.04351862122366361,0.27117870830727125,2.5,0.25
批发和零售业,工业,4,1,0.04374089141040719,0.2694623954925768,1.0,0.25
化学制品制造业,合计,4,1,0.04723820992390696,0.28340848910847266,2.5,0.25
石化,信息传输,4,1,0.04723820992390696,0.6053676968340405,3.0,0.25
住宿和餐饮业,制造业,4,1,0.048941377864392496,0.2262822314150053,2.5,0.25
非普工业,商业用电,4,1,0.049211673293822686,0.44562784464038313,2.0,0.25
化学制品制造业,石化,4,0,0.051489785125625354,0.3643370372660364,3.5,0.0
合计,化学制品制造业,4,0,0.05160399990012638,0.29856210949305184,4.0,0.0
化学制品制造业,住宿和餐饮业,4,0,0.05371521814670141,0.5256610207226461,2.5,0.0
非普工业,合计,4,0,0.0553541151806174,0.28443194369066077,1.5,0.0
非普工业,黑色金属冶炼,4,0,0.05587438487542555,0.2612828429409171,2.0,0.0
制造业,批发和零售业,4,0,0.056503670621926044,0.2781288978794853,1.5,0.0
非普工业,制造业,4,0,0.056503670621926044,0.18877684105134052,2.0,0.0
