cause,effect,lag_weeks,f_stat,p_value,n,q_value_fdr,pass_fdr_05,window_start,window_end
农业,纺织业,1,4.767049464297797,0.03132511359311907,104,0.10770207594937567,False,2023-07-01,2025-06-30
制造业,纺织业,1,9.263733751459114,0.002979853447687142,104,0.02902833009329585,True,2023-07-01,2025-06-30
工业,纺织业,1,11.280984272972285,0.001105515962350867,104,0.02065237740221543,True,2023-07-01,2025-06-30
交通仓储和邮政业,纺织业,1,5.914028044171329,0.016781236704146663,104,0.07034326618450519,False,2023-07-01,2025-06-30
信息传输,纺织业,2,6.512003726009768,0.0022113100688181397,103,0.0255588779217768,True,2023-07-01,2025-06-30
批发和零售业,纺织业,1,8.398388256756737,0.0046063053233469375,104,0.031322876198759175,True,2023-07-01,2025-06-30
住宿和餐饮业,纺织业,1,3.318162460105672,0.07147825896984006,104,0.173590057498183,False,2023-07-01,2025-06-30
黑色金属冶炼,纺织业,2,4.894571343260672,0.009416767337772303,103,0.04723820992390696,True,2023-07-01,2025-06-30
非金属矿物制品业,纺织业,2,6.248206763696468,0.00279265181077748,103,0.02902833009329585,True,2023-07-01,2025-06-30
化学制品制造业,纺织业,1,3.615835109734726,0.06008185738471605,104,0.1686701684378267,False,2023-07-01,2025-06-30
电子,纺织业,2,9.03988248733111,0.0002494641960842925,103,0.019084011000448375,True,2023-07-01,2025-06-30
石化,纺织业,1,3.8299275515539546,0.0531056379828615,104,0.15611055308214877,False,2023-07-01,2025-06-30
合计,电子,4,1.0288902897034367,0.39667752169263826,101,0.49544212913447877,False,2023-07-01,2025-06-30
大工业电量,电子,1,2.8039769362745273,0.09712472973167452,104,0.21078132835384683,False,2023-07-01,2025-06-30
非普工业,电子,3,1.0250232086959623,0.385169608100845,102,0.4869189294751428,False,2023-07-01,2025-06-30
居民生活,电子,4,1.7100347472328388,0.15446642572857372,101,0.28307655781528096,False,2023-07-01,2025-06-30
商业用电,电子,4,1.3035353877181193,0.27458027233259397,101,0.3997657680946888,False,2023-07-01,2025-06-30
农业,电子,4,1.0096404950259785,0.40668175871262735,101,0.49961830326317297,False,2023-07-01,2025-06-30
制造业,电子,2,4.3042157019254805,0.016154428358575168,103,0.06865632052394446,False,2023-07-01,2025-06-30
工业,电子,1,2.344198068964514,0.1288765025549664,104,0.25607928429753063,False,2023-07-01,2025-06-30
交通仓储和邮政业,电子,3,0.7528132434975229,0.5233949403210936,102,0.5802856947038212,False,2023-07-01,2025-06-30
信息传输,电子,4,2.0852945295181087,0.08904200969043619,101,0.20271418440260522,False,2023-07-01,2025-06-30
批发和零售业,电子,4,1.1675706053147907,0.3303180197363941,101,0.44923250684149596,False,2023-07-01,2025-06-30
住宿和餐饮业,电子,4,0.8973685300610985,0.46893914749700005,101,0.5414919967323849,False,2023-07-01,2025-06-30
黑色金属冶炼,电子,1,9.500039995747526,0.002648687974634578,104,0.028946375722792177,True,2023-07-01,2025-06-30
非金属矿物制品业,电子,2,1.272084088954503,0.28483301138370787,103,0.4051127092787363,False,2023-07-01,2025-06-30
化学制品制造业,电子,4,2.6833437090550936,0.03625639053519836,101,0.11614983841848404,False,2023-07-01,2025-06-30
纺织业,电子,2,4.91294752427543,0.009260771916021926,103,0.04723820992390696,True,2023-07-01,2025-06-30
石化,电子,4,1.9343230186044702,0.11131869733717048,101,0.23172463527329368,False,2023-07-01,2025-06-30
合计,石化,4,3.3671868272860657,0.01281677271470294,101,0.05859731454373186,False,2023-07-01,2025-06-30
大工业电量,石化,1,0.26307259803628025,0.6091370596430168,104,0.6563237332773351,False,2023-07-01,2025-06-30
非普工业,石化,4,0.9743166543262105,0.42555021703176943,101,0.5056728695763082,False,2023-07-01,2025-06-30
居民生活,石化,4,5.032988597945591,0.0010309567555308874,101,0.02065237740221543,True,2023-07-01,2025-06-30
商业用电,石化,4,5.4868659312841945,0.0005244521602929542,101,0.02065237740221543,True,2023-07-01,2025-06-30
农业,石化,4,5.648878001784599,0.00041263314651707184,101,0.02065237740221543,True,2023-07-01,2025-06-30
制造业,石化,1,0.4373819606794191,0.5098946912382647,104,0.5694444362003979,False,2023-07-01,2025-06-30
工业,石化,4,0.6457014108222379,0.631313199818008,101,0.6707702748066335,False,2023-07-01,2025-06-30
交通仓储和邮政业,石化,4,4.107005852273334,0.004160640927200476,101,0.03031324104103204,True,2023-07-01,2025-06-30
信息传输,石化,4,4.13808007921694,0.003969178723670197,101,0.029939907135422612,True,2023-07-01,2025-06-30
批发和零售业,石化,4,5.131873544453748,0.0008893510408273242,101,0.02065237740221543,True,2023-07-01,2025-06-30
