group,target,horizon,model,mae,rmse,mape,smape,n
key_variable,制造业,21,direct_own_weather_holiday,36286735.50126409,40243075.79710291,0.07999849155047536,0.08416043827187474,101
key_variable,制造业,22,direct_own_weather_holiday,36984776.38353044,40563462.90325925,0.08152515271533281,0.08574820632142509,101
key_variable,制造业,23,direct_own_weather_holiday,37265428.869938806,40776639.31843344,0.08215456409250278,0.08642597215390976,101
key_variable,制造业,24,direct_own_weather_holiday,37758027.988845095,41450640.75640205,0.08327458710524487,0.08769444788554788,101
key_variable,制造业,25,direct_own_weather_holiday,38186683.08108352,41946283.24707166,0.08423065846862678,0.08875994217643646,101
key_variable,制造业,26,direct_own_weather_holiday,38516242.48587397,42327513.90241505,0.08490101937071458,0.08951178935352656,101
key_variable,制造业,27,direct_own_weather_holiday,38753110.78017462,42682277.7657302,0.08539940661538625,0.0900918389833273,101
key_variable,制造业,28,direct_own_weather_holiday,38970289.84607832,42848946.40609852,0.08590123290589795,0.09063918325540478,101
key_variable,制造业,29,direct_own_weather_holiday,39212491.12402369,42865498.90700743,0.08648048990992374,0.09122621121333507,101
key_variable,制造业,30,direct_own_weather_holiday,39507088.93834281,42915650.51950948,0.08719353367080306,0.09195243323802756,101
key_variable,合计,1,direct_context_weather_holiday,19520733.999911875,28612334.566499606,0.02303196680671665,0.023147580959953847,101
key_variable,合计,2,direct_context_weather_holiday,23322468.64115588,32301765.536753066,0.027505495929218665,0.0276351341597229,101
key_variable,合计,3,direct_context_weather_holiday,25520838.80447775,35471713.50232851,0.030140874188978522,0.03030006663645886,101
key_variable,合计,4,direct_context_weather_holiday,27415837.93809133,38022589.256927855,0.03241416804663597,0.032508809446536856,101
key_variable,合计,5,direct_context_weather_holiday,28870157.011064894,39892825.945821114,0.0341528345827146,0.03421970827246137,101
key_variable,合计,6,direct_context_weather_holiday,30810131.47585326,41535237.08239594,0.036366539370376774,0.03646625934826576,101
key_variable,合计,7,direct_context_weather_holiday,31115525.999522097,40466104.71929887,0.03681687726457747,0.036774446380072594,101
key_variable,合计,8,direct_context_weather_holiday,31118472.9944348,40301125.42533299,0.03679248870887525,0.036735027285287575,101
key_variable,合计,9,direct_context_weather_holiday,31121338.029989168,40389212.433270685,0.0366369829409512,0.036706323488708024,101
key_variable,合计,10,direct_context_weather_holiday,30878658.370100297,40256027.67079464,0.036294925925779466,0.0364310111633239,101
key_variable,合计,11,direct_context_weather_holiday,30172782.835058898,39795752.48817267,0.035462505422239006,0.03559869551829481,101
key_variable,合计,12,direct_context_weather_holiday,29729421.75792195,39775810.764490925,0.03488793250295774,0.035054239292732624,101
key_variable,合计,13,direct_context_weather_holiday,29126758.79622785,38686644.52838663,0.03417780004268469,0.03435518328054254,101
key_variable,合计,14,direct_context_weather_holiday,28215304.373022616,36879339.47033709,0.033158439394699445,0.03329859536957593,101
key_variable,合计,15,direct_context_weather_holiday,28643984.095824506,37249638.98283708,0.03371133307850045,0.03384542276124252,101
key_variable,合计,16,direct_context_weather_holiday,29268300.266424473,37775283.30182405,0.03444569550830105,0.034626990675994423,101
key_variable,合计,17,direct_context_weather_holiday,28873283.321633484,36987747.915965,0.03401941998793135,0.03417989213222517,101
key_variable,合计,18,direct_context_weather_holiday,28805125.17888225,36213488.03453912,0.03410152508162193,0.03419650185076637,101
key_variable,合计,19,direct_context_weather_holiday,28813062.38290841,35877502.90389193,0.03421745096775284,0.034260748225202704,101
key_variable,合计,20,direct_context_weather_holiday,28596441.488220915,35637401.022371374,0.033933591436479144,0.033996801045008386,101
